Evaluated At UTC,Evaluated At EPT,Forecast Hour Beginning UTC,Forecast Hour Beginning EPT,Forecast Area,Forecast Load MW
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,ATSI,6075
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,MIDATL,23644
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,MIDATL,23513
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,MIDATL,23513
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,MIDATL,23513
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,MIDATL,23925
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,RTO,71415
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,RTO,71477
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,RTO,71477
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,RTO,71477
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T07:00:00,2024-07-02T03:00:00,RTO,71929
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,AEP,11833
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,AEP,11859
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,AEP,11859
2024-07-01T21:45:00,2024-07-01T17:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,AEP,11859
2024-07-02T03:45:00,2024-07-01T23:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,AEP,11821
2024-07-01T09:45:00,2024-07-01T05:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,APS,4288
2024-07-01T13:45:00,2024-07-01T09:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,APS,4324
2024-07-01T15:45:00,2024-07-01T11:45:00,2024-07-02T08:00:00,2024-07-02T04:00:00,APS,4324
